Designator,Mid X,Mid Y,Layer,Rotation
C1,49.38,78.63,Top,0.0
C2,55.64,21.15,Top,90.0
C3,54.00,72.75,Top,0.0
C4,39.13,64.13,Top,90.0
C5,43.25,49.00,Top,270.0
C6,49.38,84.13,Top,180.0
C7,42.38,75.00,Top,90.0
J$20,53.50,108.60,Top,180.0
J0,55.03, 2.37,Top,90.0
J1,80.00,26.50,Top,270.0
J2,80.00,37.50,Top,270.0
J3,80.00,48.50,Top,270.0
J4,80.00,59.50,Top,270.0
J5,80.00,70.50,Top,270.0
J6,80.00,81.50,Top,270.0
J7,80.00,92.50,Top,270.0
J8, 0.00,92.50,Top,90.0
J9, 0.00,81.50,Top,90.0
J10, 0.00,70.50,Top,90.0
J11, 0.00,59.50,Top,90.0
J12, 0.00,48.50,Top,90.0
J13, 0.00,37.50,Top,90.0
J14, 0.00,26.50,Top,90.0
J15,38.00,115.00,Top,270.0
J16,24.00,115.00,Top,270.0
R1,57.75,84.13,Top,180.0
R2,57.75,86.88,Top,0.0
R3,39.00,78.88,Top,90.0
R4,18.75, 9.00,Top,0.0
R5,33.40,102.60,Top,180.0
R6,37.70,102.60,Top,0.0
R7,23.40,102.60,Top,180.0
R8,16.00,89.00,Top,270.0
R9,28.40,102.60,Top,0.0
R10,21.40,99.50,Top,180.0
R11,31.40,99.50,Top,180.0
R12,16.03,78.02,Top,270.0
R16,16.03,67.05,Top,270.0
R20,16.03,55.96,Top,270.0
R24,16.03,45.00,Top,270.0
R28,15.97,34.07,Top,90.0
R29,35.48,65.59,Top,180.0
R31,57.91,26.82,Top,270.0
R32,55.53,26.77,Top,270.0
R36,16.00,22.99,Top,90.0
R40,64.00,95.95,Top,90.0
R44,64.00,85.05,Top,90.0
R48,64.00,74.01,Top,90.0
R52,64.00,62.98,Top,90.0
R56,64.00,52.07,Top,90.0
R57,64.00,40.98,Top,90.0
R58,64.00,30.03,Top,90.0
U$1,33.99,56.30,Top,0.0
U$2,46.01,57.57,Top,180.0
U$3,30.24,66.67,Top,180.0
U$4,36.49,72.23,Top,0.0
U$5,53.50,38.40,Top,180.0
U$16,35.33,24.40,Top,0.0
U$17,26.00,60.63,Top,270.0
U$18,28.37,85.96,Top,270.0
U$19,26.00,53.13,Top,270.0
U$20,53.75,53.13,Top,90.0
U$21,53.75,60.75,Top,90.0
U$22,54.25,78.63,Top,90.0
U$23,19.00, 4.75,Top,0.0
Y1,28.02,72.19,Top,180.0
